Id,Invoice No.,Stock code,Description,Quantity,Invoice date,Unit price,Customer ID
1,6604,6BEE0BEE1,Magazine truth stop whose group through despite cause cause believe son would.,4,23-01-2015,924.11,6AAB0AAB1
2,5781,2FAD0FAD2,Its particularly tree whom local tend employee source nature add.,4,31-03-2018,609.75,4FAF4FAF7
3,3513,3BBC9BBC2,Develop sound central myself before year themselves your majority feeling fact by four.,4,09-09-2021,839.89,6ADE5ADE0
4,4719,0CFD7CFD2,First drug contain start almost wonder employee attorney quickly candidate.,4,18-07-2008,18.68,9BFB4BFB9
5,4833,6FAA2FAA9,Stay information every manage political record word group food break onto friend couple.,1,11-04-2006,413.52,5FEF2FEF1
6,5601,5AEA7AEA2,Talk despite stage plant view own available.,4,13-02-2008,399.16,5CDA1CDA0
7,1510,6CAC0CAC2,Against which continue buy decision song view age international big employee determine positive.,2,17-12-2011,620.87,1CCD4CCD2
8,916,3CBC8CBC2,Employee toward like total now recently data should.,5,02-06-2019,225.84,5BDD7BDD6
9,1972,0CEF1CEF0,Likely improve notice meet find ground.,6,02-04-2020,428.07,8CEB2CEB8
10,1508,6AFA6AFA9,Care several loss particular pull opportunity throughout take car.,1,13-04-2011,661.09,5BEB3BEB5
11,3523,9BAC7BAC3,Pm her then nothing increase I reduce industry.,2,07-04-2017,27.14,8EEF7EEF9
12,2787,5BDA4BDA4,Page a although for study anyone state wind indeed nature white without study.,2,22-03-2008,66.5,1CDB9CDB9
13,3008,5FFC3FFC5,Best budget power them evidence without beyond take however ball ever laugh society.,5,27-08-2020,428.51,2CCC3CCC7
14,2400,8DEF1DEF7,Day employee fire happen nothing support.,2,26-05-2020,977.65,7FDC0FDC1
15,8236,2AFC6AFC4,Fact catch even front happen behavior single along especially change on guess writer.,6,16-03-2008,417.3,7BAF9BAF5
16,4281,9DCC0DCC5,Idea foreign increase between training listen subject wish gas.,6,24-02-2014,176.04,4CDF0CDF3
17,5229,3DCB6DCB5,South yard beautiful space cup determine his better news face.,1,27-08-2021,793.61,8CCB7CCB2
18,5349,9FBC4FBC8,Issue grow ask tell reduce total later quality.,2,09-01-2008,764.3,6CAC3CAC4
19,3921,6ABF0ABF9,Learn gun still bit other maintain nor point.,1,14-03-2013,875.77,6EBB7EBB7
20,3893,5CAC1CAC1,Future while together stand along chance.,5,16-05-2010,926.94,5EBB3EBB5
21,7118,9DEA6DEA0,At candidate feel serve large technology.,1,16-08-2019,275.86,6EAB4EAB8
22,8809,9CCA6CCA2,Question source serious wrong section town deal.,4,09-02-2015,967.69,1ECA1ECA5
23,9300,8CAD0CAD5,Few now four management energy stay significant his.,1,12-07-2012,22.34,9ADA3ADA1
24,5007,0FAE4FAE9,Cell three own bank recognize special good along letter learn big.,3,29-03-2019,200.99,1DAA0DAA1
25,2518,6DBE5DBE9,Crime situation since book art red pass value practice wide.,1,21-02-2018,942.64,2EBF1EBF6
26,1830,9AAA9AAA3,Know series lay smile away and various main too war project.,1,24-09-2015,331.88,1DFC9DFC4
27,6841,3DBD6DBD5,International not type very indeed between similar.,5,29-06-2018,76.6,6AED7AED9
28,7541,6EBC4EBC3,Audience grow ahead girl act window standard audience throw debate.,2,26-06-2009,104.5,3DAA6DAA3
29,9322,2CDC0CDC3,Both general where candidate whom gun list fall view when player.,4,17-02-2009,911.89,9CAD4CAD7
30,4262,5EBA4EBA7,Source firm drug senior fact information animal.,5,01-04-2008,906.11,5FFC7FFC3
31,2648,2BCB3BCB4,Scientist central instead PM be know hard we around impact individual.,6,22-05-2018,573.54,4CFC8CFC9
32,7121,3CFC4CFC6,Born painting child reflect up control instead company where.,3,17-10-2011,825.71,8CFF1CFF7
33,7340,6EDA8EDA5,Peace account fear shoulder pick nation choose relationship likely question set.,1,14-12-2009,864.01,2DFE5DFE9
34,4004,7ADE2ADE0,Moment ok how bill education exist sense training other along society.,4,14-03-2011,851.83,1BFA7BFA3
35,2164,8FDA6FDA3,Mind off phone most improve play idea sing small.,3,22-12-2010,759.22,3BCB7BCB5
36,1166,6BEF4BEF0,Life nice federal place score design major maybe manage when know central many.,3,04-02-2021,930.57,4BFD5BFD0
37,6081,0AAB6AAB1,Rather score protect according American per yourself.,6,08-11-2020,432.94,9FAF7FAF8
38,3167,9ABF4ABF5,Himself former possible reach challenge value challenge firm decade cost.,5,10-12-2011,667.63,1BFD2BFD3
39,3739,6FCE6FCE0,Town almost plan that hair sea.,2,11-07-2017,239.49,9EFD7EFD3
40,1845,7BBE1BBE9,Learn place might what western upon value ok majority region democratic.,5,11-07-2010,0.25,5EBE5EBE8
41,402,9CCC3CCC8,Skill quite wife however TV law.,3,11-10-2011,919.15,4AFF4AFF4
42,5875,4CBB1CBB6,Agreement and hard decide modern could cut pull save.,6,25-04-2011,864.75,7DDB7DDB2
43,3048,7CCA7CCA6,Across manager just true include management.,3,27-06-2013,111.31,6AFC2AFC3
44,2637,5BBA9BBA7,Baby interview senior stop always Congress majority campaign that various floor itself news.,4,10-11-2010,983.47,5DFB8DFB6
45,8978,3CFF6CFF5,Evening admit past Republican common increase design they young.,6,10-02-2006,886.01,1ABF5ABF6
46,6419,8CCB6CCB1,Director respond national example science top ask film force health.,4,04-03-2014,492.2,6CCB9CCB7
47,8855,6EFF9EFF8,Play speech theory choice computer yard career deal trip market should wide dog.,4,01-04-2008,365.99,2ABE7ABE3
48,2719,1EEA0EEA0,Money grow lay actually detail present.,6,30-03-2017,778.51,0CBC8CBC5
49,4296,0FDB1FDB8,Start size himself arrive although risk which gas.,3,04-07-2013,345.24,5FEB8FEB9
50,598,5BAF4BAF2,Run character against physical agency and.,4,03-11-2009,510.56,8BFE2BFE3
51,2376,1FCA3FCA7,Group computer forget would section him important.,1,27-06-2010,887.09,4BBE1BBE1
52,1662,6FCF6FCF2,May perform product style record bag.,6,15-01-2010,230.28,7FFB2FFB2
53,2169,0CEA3CEA9,Per leader change own education south run.,5,19-06-2006,71.54,3DAE0DAE4
